_id,year,month,idgeo,isoalpha3,source,indicator,area,quintile,sex,education_level,age,ethnicity,value,se,cv,sample,language,collection_en,collection_es,theme_en,theme_es,disability,migration,management,funding
29,1975,NA,NA,SLV,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.009045100212097,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
30,1975,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.05228789806366,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
31,1975,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.018436000347137,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
32,1975,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.051985101699829,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
33,1975,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.035947299003601,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
34,1976,NA,NA,GTM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.016272900104523,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
35,1976,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.043127298355102,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
36,1976,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.058583297729492,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
37,1976,NA,NA,BRB,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.059447999000549,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
38,1976,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.011656399965286,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
39,1977,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.060265197753906,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
40,1977,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.042809600830078,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
41,1977,NA,NA,BRB,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.065171599388123,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
42,1977,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.052566599845886,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
43,1977,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.070887298583984,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
44,1977,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.017198400497436,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
45,1977,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.02418839931488,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
46,1978,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036059799194336,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
47,1978,NA,NA,HND,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.020190498828888,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
48,1978,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.030704500675201,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
49,1978,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.019355499744415,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
50,1979,NA,NA,HND,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.020129899978638,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
51,1979,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.019871300458908,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
52,1979,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036425499916077,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
53,1979,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.093778696060181,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
54,1979,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.024002799987793,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
55,1979,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.028227798938751,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
56,1979,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.034823698997498,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
57,1979,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.017543400526047,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
58,1980,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.021595098972321,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
59,1980,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.073471698760986,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
60,1980,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.044007201194763,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
61,1980,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.03535670042038,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
62,1980,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.026071500778198,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
63,1980,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.01729120016098,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
64,1980,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.042199997901916,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
65,1980,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.032624099254608,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
66,1980,NA,NA,HND,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.01936360001564,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
67,1980,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.03768079996109,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
68,1981,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.051874399185181,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
69,1981,NA,NA,HTI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.013937400579452,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
70,1981,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.025972399711609,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
71,1981,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.034317998886108,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
72,1981,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.049142999649048,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
73,1982,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.034185099601746,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
74,1982,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.015978699922562,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
75,1982,NA,NA,HTI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.01079540014267,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
76,1982,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.048850698471069,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
77,1982,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.037926800251007,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
78,1982,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.015389100313187,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
79,1982,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.050089502334595,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
80,1982,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.054573998451233,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
81,1983,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.060598201751709,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
82,1983,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.057666001319885,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
83,1983,NA,NA,HTI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.010222100019455,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
84,1983,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.082534704208374,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
85,1983,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.049577798843384,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
86,1983,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.014638299942017,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
87,1983,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.035509099960327,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
88,1983,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.016174999475479,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
89,1984,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.023733899593353,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
90,1984,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.025697200298309,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
91,1984,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.034687099456787,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
92,1984,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.013345500230789,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
93,1984,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.042034201622009,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
94,1984,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.030042901039124,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
95,1984,NA,NA,HTI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.00986190021038,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
96,1984,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.072274799346924,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
97,1984,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.058739099502564,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
98,1984,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.059788999557495,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
99,1984,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.04063729763031,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
100,1985,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.05391900062561,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
