_id,year,month,idgeo,isoalpha3,source,indicator,area,quintile,sex,education_level,age,ethnicity,value,se,cv,sample,language,collection_en,collection_es,theme_en,theme_es,disability,migration,management,funding
125,1989,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.041998701095581,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
126,1989,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.010461200475693,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
127,1989,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.027052500247955,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
128,1989,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.040778498649597,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
129,1989,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.051839799880982,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
130,1990,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.024467101097107,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
131,1990,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.023249800205231,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
132,1990,NA,NA,PRY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.010407099723816,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
133,1990,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.022501599788666,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
134,1990,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.01067379951477,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
135,1990,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.047791600227356,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
136,1990,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036541299819946,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
137,1991,NA,NA,BRB,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.066387000083923,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
138,1991,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.043830699920654,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
139,1991,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.024790799617767,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
140,1991,NA,NA,HTI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.010739899873734,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
141,1991,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.025480000972748,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
142,1992,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.024115300178528,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
143,1992,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.033366599082947,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
144,1992,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.03005019903183,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
145,1992,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.029849700927734,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
146,1992,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.043106799125671,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
147,1993,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.032140300273895,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
148,1993,NA,NA,GTM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.016657500267029,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
149,1993,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.023837199211121,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
150,1993,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.038178300857544,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
151,1993,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.007739499807358,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
152,1994,NA,NA,HND,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.025126399993896,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
153,1994,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.034318099021912,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
154,1994,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.050060300827026,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
155,1994,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.037244501113892,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
156,1994,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.022717199325562,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
157,1994,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.034705400466919,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
158,1994,NA,NA,GTM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.014399800300598,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
159,1994,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.008933699727058,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
160,1994,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.025118200778961,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
161,1994,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.040641899108887,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
162,1994,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036470899581909,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
163,1995,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.025646998882294,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
164,1995,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036925599575043,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
165,1995,NA,NA,GTM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.016047999858856,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
166,1995,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.035585498809814,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
167,1995,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.033527200222015,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
168,1995,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036093399524689,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
169,1995,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.039478099346161,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
170,1995,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.010333000421524,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
171,1995,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.02521399974823,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
172,1995,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.033890800476074,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
173,1995,NA,NA,BRA,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.045681600570679,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
174,1995,NA,NA,HND,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.026174499988556,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
175,1995,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.019976400136948,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
176,1996,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036777300834656,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
177,1996,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.037319800853729,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
178,1996,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.04094319820404,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
179,1996,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.038907198905945,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
180,1996,NA,NA,PER,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.031187999248505,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
181,1996,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.032487699985504,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
182,1996,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.028698699474335,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
183,1996,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.012272499799728,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
184,1996,NA,NA,GTM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.015636999607086,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
185,1996,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.027772099971771,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
186,1997,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.043795399665832,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
187,1997,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.033252100944519,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
188,1997,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.029851698875427,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
189,1997,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.038471100330353,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
190,1998,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.033231298923492,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
191,1998,NA,NA,PER,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.032781798839569,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
192,1998,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.040398697853088,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
193,1998,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.024389200210571,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
194,1998,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.039264400005341,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
195,1998,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.033652899265289,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
196,1998,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.022258501052856,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
197,1998,NA,NA,SLV,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.025472500324249,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
198,1998,NA,NA,PRY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.041983399391174,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
199,1998,NA,NA,BRA,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.047566599845886,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
200,1998,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.022433700561523,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
201,1998,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.021953699588776,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
202,1999,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.053943600654602,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
203,1999,NA,NA,BLZ,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.041033802032471,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
204,1999,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.035353600978851,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
205,1999,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.085610599517822,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
206,1999,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.045216798782349,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
207,1999,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.045672302246094,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
208,1999,NA,NA,PRY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.042308797836304,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
209,1999,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.029236500263214,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
210,1999,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.037083899974823,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
211,1999,NA,NA,BRA,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.038006200790405,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
212,1999,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.015473400354385,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
213,1999,NA,NA,SLV,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.02562609910965,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
214,1999,NA,NA,BRB,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.043412399291992,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
215,1999,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.02756119966507,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
216,1999,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.044408001899719,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
217,1999,NA,NA,PER,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.03441339969635,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
218,2000,NA,NA,BHS,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.022328400611877,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
219,2000,NA,NA,BLZ,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.03778970003128,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
220,2000,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.037570700645447,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
221,2000,NA,NA,PRY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.042302098274231,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
222,2000,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.018882900476456,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
223,2000,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.047596898078918,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
224,2000,NA,NA,SLV,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.028386800289154,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
225,2000,NA,NA,BRB,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.047158598899841,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
226,2000,NA,NA,PER,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.032280299663544,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
227,2000,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.039924399852753,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
228,2000,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.045803098678589,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
229,2000,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.011509300470352,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
230,2000,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.035112099647522,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
231,2000,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.027556500434876,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
232,2000,NA,NA,BRA,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.039489300251007,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
233,2000,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.024225499629974,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
234,2000,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.030016000270844,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
235,2000,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.084841499328613,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
236,2000,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.046669502258301,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
237,2001,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.083972997665405,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
238,2001,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.028009600639343,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
239,2001,NA,NA,BRB,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.060553698539734,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
240,2001,NA,NA,COL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.037086799144745,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
241,2001,NA,NA,BLZ,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.043221001625061,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
242,2001,NA,NA,PRY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.038335700035095,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
243,2001,NA,NA,MEX,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.042410402297974,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
244,2001,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.019678299427032,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
245,2001,NA,NA,BRA,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.038446800708771,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
246,2001,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.041058797836304,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
247,2001,NA,NA,CRI,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.048320298194885,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
248,2001,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.04833740234375,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
249,2001,NA,NA,TTO,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.030652899742126,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
250,2001,NA,NA,PER,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.030371201038361,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
