country,year,formal_1,formal_2,avg_educ_years,employed_agriculture,min_wage,gov_exp_educ,rural_pop,gdp_per_capita,cpi,credit,fdi
CRI,2019,0.685512172739444,0.727349704446121,10.1559600215131,0.103872461833304,774.841716940144,0.067380800247192,0.274630464471424,12669.34116173553,1506.172684523507,703.6593165857846,4.183856482526826
CRI,2020,0.673526135934562,0.785961559964441,10.203221040806,0.122373314055378,769.270400193451,0.066289801597595,0.27477670033973,12179.25667422417,1517.090056343161,729.0782266312463,2.635226451583433
CRI,2021,0.671835893148457,0.730088472153047,10.3055239568438,0.110943165604375,756.210108104161,0.062817101478577,0.275058764425778,12604.04883718719,1543.283751720934,770.6775761883051,4.843203716800893
CRI,2022,0.71807971875963,0.754500169710393,10.1201251831569,0.104801856005947,698.416699816089,0.06345486270056866,0.275515586518026,13365.14635666202,1670.984731081199,749.4890937094133,4.419330331787099
DOM,2003,0.1941078132189651,0.19621539508516475,8.62129437836087,0.137471085234214,305.871087836186,0.018446500301361,0.291839791428379,2412.344240530908,394.0522661553076,343.4381944709376,NA
DOM,2004,0.20658265584617855,0.20826366487699888,8.68154003676229,0.148607352350862,289.552253132705,0.018951849937439,0.355295636884784,2488.735085706237,596.834950513429,241.8366905647781,NA
DOM,2005,0.219057498473392,0.220311934668833,8.65137832068369,0.147698733476218,277.910029347958,0.019457199573517,0.353533841363561,3922.359420241739,621.8435441557251,224.255260723076,NA
DOM,2006,0.25756122388487,0.256596280793279,8.7814439250377,0.148153173904188,258.343948474619,0.019962549209594997,0.353383729023151,4092.746959049144,668.9345446430152,237.9253220760586,NA
DOM,2007,0.307019262708056,0.305783265235884,8.94062837571911,0.14368242207297,279.898505265019,0.020467898845673,0.353665342258549,4686.91494533201,710.030983585691,265.4554577359137,-3.7914489551435855
DOM,2008,0.327744308813205,0.327410637574087,8.95743127887341,0.139563098856911,252.97221890668,0.02310324903806083,0.326704456786061,5062.05309127268,785.6110914481249,296.0242545551562,-3.7786496658231137
DOM,2009,0.32141910017027,0.323341454049619,9.06906697267388,0.148034544718145,286.795838913963,0.025738599230448665,0.326589537795552,5008.133255149953,796.9407921604969,322.1779532823613,-3.765850376502642
DOM,2010,0.334907528660129,0.336392829691126,9.09168736264577,0.145150866464413,269.723479602929,0.028373949422836497,0.326629397549222,5515.836022751761,847.3866039900468,355.2217569087499,-3.75305108718217
DOM,2011,0.320514203801039,0.32207031527716,9.11045719049187,0.146830063965452,290.969156305159,0.031009299615224334,0.32664061659551,5865.233713427286,919.0701118667818,361.5361976350881,-3.919416227958754
